All rectangles
Begin,End,Length,x1,x2
8,15,2,195,197
15,18,5,540,545
12,15,5,-1,-1
8,9,5,561,566
9,15,4,569,573
8,12,1,340,341
14,18,4,239,243
15,16,9,-1,-1
9,16,1,524,525
11,16,2,387,389
14,15,4,-1,-1
8,10,7,406,413
9,10,7,792,799
8,11,1,387,388
15,16,9,-1,-1
12,13,9,-1,-1
8,12,1,344,345
11,14,7,962,969
8,12,7,314,321
8,10,1,451,452
15,17,5,894,899
13,15,7,-1,-1
14,15,7,-1,-1
11,12,5,-1,-1
11,17,5,374,379
14,15,4,-1,-1
13,14,2,-1,-1
12,17,1,686,687
15,18,1,196,197
14,17,4,805,809
14,17,9,590,599
9,10,8,762,770
9,15,4,573,577
10,18,1,404,405
12,13,9,-1,-1
16,17,2,990,992
9,17,8,473,481
8,13,4,290,294
8,14,8,197,205
14,15,6,-1,-1
9,15,9,534,543
10,16,3,749,752
10,13,4,844,848
11,17,1,386,387
9,11,6,695,701
8,13,4,286,290
13,16,3,987,990
8,15,9,155,164
16,17,7,838,845
8,12,7,307,314
13,14,1,-1,-1
14,15,2,-1,-1
13,14,3,-1,-1
11,15,9,712,721
14,15,1,-1,-1
8,9,5,556,561
8,10,3,431,434
11,18,3,346,349
8,16,2,141,143
16,18,3,447,450
8,13,2,302,304
16,18,7,118,125
12,14,4,-1,-1
10,16,2,752,754
15,18,7,177,184
10,14,9,763,772
14,15,2,-1,-1
13,16,1,999,1000
9,18,1,463,464
16,17,7,744,751
8,14,4,239,243
16,17,3,984,987
10,11,1,975,976
10,13,1,855,856
12,13,6,-1,-1
12,14,4,-1,-1
8,17,4,59,63
11,12,3,-1,-1
9,11,5,717,722
12,18,2,331,333
10,11,4,956,960
9,10,9,737,746
8,16,7,101,108
13,14,2,-1,-1
15,17,2,918,920
8,12,4,331,335
15,18,3,556,559
12,15,8,-1,-1
8,11,1,389,390
8,9,2,605,607
9,10,7,785,792
8,13,1,305,306
8,16,6,114,120
15,18,3,562,565
11,16,4,704,708
15,16,7,-1,-1
14,15,4,-1,-1
8,14,8,205,213
12,16,9,856,865
12,15,9,-1,-1
8,9,1,613,614
13,15,5,-1,-1
16,17,8,728,736
10,11,9,896,905
16,17,2,994,996
13,14,6,-1,-1
13,18,3,268,271
8,12,5,326,331
13,15,6,-1,-1
14,15,3,-1,-1
9,12,7,677,684
8,9,6,527,533
15,18,7,163,170
10,15,7,754,761
8,9,1,611,612
11,14,8,954,962
16,17,2,996,998
12,13,9,-1,-1
15,16,7,-1,-1
9,13,7,637,644
16,17,6,932,938
10,11,1,969,970
14,17,5,792,797
10,17,7,413,420
14,15,8,979,987
10,17,8,405,413
8,13,8,265,273
16,17,9,513,522
15,16,9,-1,-1
8,13,9,248,257
11,14,8,946,954
8,9,8,498,506
14,15,1,-1,-1
15,17,1,584,585
10,11,9,905,914
15,17,4,724,728
12,18,7,315,322
11,12,6,-1,-1
9,12,1,694,695
15,18,8,155,163
9,12,1,693,694
8,17,7,14,21
11,18,1,351,352
14,15,9,970,979
14,15,7,-1,-1
8,11,5,373,378
16,17,1,-1,-1
11,15,9,887,896
15,16,6,-1,-1
9,15,4,577,581
9,16,3,518,521
10,17,1,423,424
15,16,6,981,987
8,10,4,427,431
12,14,6,-1,-1
11,12,1,-1,-1
12,16,3,879,882
12,17,6,675,681
15,18,4,545,549
8,12,5,321,326
14,16,4,952,956
8,13,3,294,297
14,15,7,-1,-1
11,16,1,389,390
9,17,7,488,495
14,16,3,956,959
8,14,6,225,231
13,17,8,287,295
8,17,7,0,7
16,17,6,920,926
15,18,1,574,575
16,17,9,687,696
13,14,1,-1,-1
15,17,8,576,584
14,15,7,-1,-1
12,18,8,307,315
10,12,6,871,877
16,17,2,-1,-1
14,17,5,787,792
14,15,4,-1,-1
8,9,1,615,616
15,17,3,760,763
13,14,7,-1,-1
15,17,4,903,907
15,18,5,525,530
11,12,1,-1,-1
10,16,9,424,433
16,17,5,878,883
10,16,5,447,452
12,17,1,683,684
12,13,1,-1,-1
15,16,6,-1,-1
12,13,8,-1,-1
15,18,1,573,574
10,14,7,781,788
8,17,5,41,46
8,13,7,273,280
13,14,4,-1,-1
12,13,2,-1,-1
11,12,1,-1,-1
16,17,1,-1,-1
12,14,9,-1,-1
11,12,7,-1,-1
13,14,8,-1,-1
12,13,3,-1,-1
15,18,2,565,567
16,18,1,450,451
8,16,2,143,145
10,14,5,795,800
14,15,1,-1,-1
11,17,3,383,386
16,17,9,646,655
14,15,7,-1,-1
12,15,9,-1,-1
13,16,9,646,655
16,17,9,637,646
14,15,3,-1,-1
8,13,2,300,302
15,16,1,-1,-1
15,17,1,970,971
10,18,5,390,395
14,17,2,616,618
10,11,1,970,971
8,9,4,576,580
8,9,1,614,615
14,16,1,967,968
11,17,7,361,368
8,11,9,346,355
8,12,1,342,343
16,17,1,-1,-1
15,16,9,-1,-1
14,15,4,-1,-1
8,14,1,246,247
8,15,5,186,191
14,18,4,231,235
16,17,1,-1,-1
12,13,8,-1,-1
9,14,8,594,602
8,9,4,588,592
12,18,2,329,331
14,15,4,-1,-1
11,15,6,896,902
12,15,9,-1,-1
12,16,5,865,870
11,15,7,721,728
16,17,6,926,932
13,18,1,277,278
16,18,9,94,103
13,14,3,-1,-1
14,15,5,-1,-1
12,14,1,-1,-1
10,14,3,814,817
