All rectangles
begin	end	length	x1	x2
8	18	1	333	334
17	18	7	818	825
13	18	7	579	586
8	18	2	273	275
13	18	4	747	751
8	18	1	341	342
8	12	2	816	818
17	18	20	456	476
16	17	4	942	946
13	18	5	615	620
8	18	1	336	337
14	16	9	911	920
8	13	4	630	634
8	18	3	211	214
8	13	8	553	561
13	18	1	777	778
12	17	1	824	825
8	18	2	311	313
8	18	3	205	208
16	17	2	955	957
14	17	2	513	515
11	17	3	834	837
8	10	3	868	871
12	18	1	808	809
8	15	2	483	485
8	13	1	786	787
8	18	1	329	330
8	18	2	303	305
11	12	7	989	996
10	15	5	877	882
16	17	13	960	973
13	18	2	760	762
13	18	4	711	715
10	11	3	994	997
8	13	2	752	754
14	18	4	491	495
17	18	4	985	989
15	18	2	451	453
8	13	1	779	780
8	17	4	357	361
8	13	6	591	597
13	18	1	780	781
8	12	4	808	812
13	18	1	781	782
8	18	2	307	309
10	15	1	886	887
8	13	1	800	801
8	10	3	871	874
16	18	25	423	448
8	18	2	309	311
17	18	3	993	996
8	18	1	327	328
8	18	3	184	187
8	10	3	880	883
8	18	4	103	107
8	9	82	887	969
8	16	2	434	436
13	18	5	630	635
8	18	1	335	336
8	13	10	526	536
8	18	2	321	323
12	18	1	807	808
8	18	1	326	327
9	14	1	945	946
13	18	5	620	625
8	13	2	766	768
8	15	2	475	477
8	18	2	319	321
8	17	3	383	386
8	16	1	446	447
10	15	7	865	872
14	17	2	509	511
8	13	7	584	591
8	11	4	834	838
8	12	1	822	823
8	16	2	432	434
9	14	2	938	940
8	13	3	699	702
8	13	1	789	790
15	17	2	488	490
8	9	4	980	984
10	15	1	963	964
17	18	13	499	512
17	18	6	796	802
8	18	4	95	99
8	13	1	790	791
8	13	1	792	793
14	18	1	498	499
8	11	5	825	830
8	13	3	702	705
8	9	1	999	1000
8	18	3	232	235
17	18	14	476	490
8	17	2	390	392
8	18	3	190	193
15	16	1	966	967
11	16	1	962	963
8	13	2	732	734
13	18	4	671	675
8	18	3	193	196
8	13	4	650	654
16	18	6	918	924
11	13	4	985	989
11	17	4	830	834
8	17	2	386	388
8	13	1	788	789
8	18	2	305	307
8	9	1	998	999
12	17	1	959	960
13	18	4	691	695
8	18	2	317	319
8	9	4	984	988
14	15	1	945	946
8	18	3	169	172
14	18	1	497	498
8	18	4	131	135
8	18	2	315	317
8	13	4	618	622
8	18	1	324	325
8	18	3	202	205
8	17	4	369	373
10	15	2	882	884
8	13	1	784	785
8	18	5	75	80
15	17	1	857	858
8	13	3	717	720
8	16	1	447	448
8	13	2	744	746
8	18	2	313	315
8	13	6	597	603
9	14	7	919	926
8	18	5	80	85
8	13	4	646	650
17	18	2	901	903
8	16	4	411	415
8	13	1	797	798
8	15	2	473	475
8	18	4	115	119
8	11	3	838	841
8	18	3	223	226
11	16	2	980	982
13	17	6	794	800
8	14	3	499	502
14	18	2	495	497
8	16	2	430	432
8	13	3	657	660
8	13	3	693	696
9	14	2	940	942
8	14	1	514	515
8	13	2	772	774
16	17	2	-1	-1
8	17	4	353	357
8	11	3	844	847
8	13	3	696	699
12	17	1	989	990
11	16	2	976	978
17	18	5	971	976
16	17	4	991	995
8	9	2	994	996
8	13	2	724	726
8	13	1	782	783
8	18	4	99	103
8	18	2	269	271
8	9	2	996	998
14	15	2	943	945
8	15	3	463	466
13	18	4	687	691
17	18	4	512	516
17	18	4	981	985
8	18	1	340	341
11	16	1	982	983
8	16	3	425	428
10	11	23	967	990
11	16	4	972	976
8	18	6	57	63
8	13	2	730	732
8	13	8	545	553
8	18	2	265	267
8	17	4	365	369
8	18	3	217	220
13	18	2	768	770
8	18	3	214	217
16	17	4	995	999
15	16	2	944	946
15	18	2	449	451
13	18	3	754	757
8	12	2	814	816
11	14	2	983	985
8	18	8	16	24
8	13	9	536	545
8	13	3	705	708
14	17	1	515	516
13	18	2	772	774
14	15	8	932	940
13	17	5	946	951
8	14	4	495	499
8	13	2	742	744
8	16	4	407	411
13	18	4	663	667
10	11	3	997	1000
13	18	1	778	779
8	16	2	442	444
17	18	9	787	796
8	18	2	261	263
8	18	3	208	211
8	13	2	754	756
13	18	1	785	786
8	13	4	634	638
8	13	4	642	646
8	18	4	135	139
15	17	1	490	491
8	16	1	448	449
13	18	1	783	784
8	18	2	253	255
16	17	6	980	986
8	18	7	38	45
8	15	2	479	481
13	18	5	610	615
13	18	4	715	719
8	18	2	255	257
8	14	1	513	514
13	17	4	951	955
8	13	2	728	730
12	13	2	998	1000
8	13	1	787	788
9	14	4	932	936
8	18	3	199	202
8	15	1	487	488
8	13	2	722	724
13	18	1	776	777
8	10	4	864	868
8	10	3	874	877
8	13	4	622	626
13	18	4	735	739
9	14	8	911	919
8	18	2	279	281
8	18	3	196	199
9	18	4	892	896
14	16	1	931	932
17	18	5	850	855
9	13	5	952	957
8	9	5	975	980
8	17	5	348	353
8	15	2	485	487
17	18	1	490	491
8	18	2	287	289
9	18	3	896	899
14	17	1	801	802
8	13	2	740	742
15	17	10	470	480
8	18	1	-1	-1
8	13	8	561	569
15	16	19	858	877
13	16	7	-1	-1
13	18	4	743	747
8	13	2	738	740
8	15	2	481	483
8	18	8	8	16
16	18	27	396	423
8	13	1	780	781
8	16	3	419	422
8	18	1	332	333
8	18	3	175	178
8	13	2	748	750
8	11	1	850	851
8	18	6	63	69
8	12	1	824	825
12	16	2	991	993
8	17	4	361	365
12	17	2	822	824
17	18	54	342	396
9	16	1	907	908
8	16	2	428	430
8	13	3	708	711
9	14	1	944	945
8	18	3	178	181
8	18	1	325	326
8	14	1	512	513
8	13	2	720	722
13	18	4	727	731
8	9	3	991	994
15	16	4	883	887
8	14	3	502	505
8	10	2	885	887
8	18	4	127	131
13	16	6	-1	-1
9	10	37	963	1000
13	18	8	534	542
8	13	2	734	736
8	18	3	181	184
8	13	1	795	796
8	18	4	123	127
16	17	1	850	851
8	15	1	489	490
11	16	2	978	980
12	15	4	993	997
9	12	3	957	960
8	18	3	166	169
9	18	2	899	901
8	18	2	301	303
15	17	14	456	470
8	18	1	328	329
13	18	4	655	659
8	18	2	299	301
17	18	7	830	837
14	16	6	920	926
10	15	2	884	886
8	15	1	488	489
8	18	3	226	229
8	18	3	229	232
8	18	2	295	297
13	18	2	762	764
13	18	4	643	647
8	13	7	577	584
8	11	2	847	849
8	18	1	330	331
8	18	2	289	291
8	12	2	820	822
15	18	2	453	455
11	16	1	850	851
8	18	2	285	287
13	18	4	675	679
13	18	4	651	655
8	16	1	445	446
16	18	16	858	874
8	18	2	283	285
8	18	2	281	283
8	18	1	331	332
14	15	3	940	943
8	13	1	793	794
15	18	1	455	456
8	10	6	858	864
16	17	7	935	942
16	17	3	986	989
8	13	1	801	802
8	18	4	119	123
8	18	5	85	90
8	18	3	235	238
8	13	1	777	778
8	14	4	491	495
8	18	1	338	339
8	18	2	277	279
17	18	1	886	887
13	18	8	550	558
8	18	2	257	259
12	17	2	820	822
13	18	4	707	711
8	18	5	90	95
8	18	1	337	338
8	13	2	774	776
13	18	4	703	707
8	13	4	638	642
8	15	4	456	460
16	17	7	973	980
8	13	3	711	714
8	9	6	969	975
12	17	3	809	812
13	18	4	699	703
13	17	7	787	794
17	18	9	809	818
13	18	3	751	754
8	18	2	259	261
8	11	1	849	850
8	13	3	714	717
16	18	6	912	918
14	17	2	511	513
15	16	3	963	966
8	18	1	323	324
16	18	4	928	932
8	18	3	250	253
8	17	1	394	395
11	16	5	967	972
8	13	2	764	766
8	13	2	746	748
11	18	5	825	830
13	18	2	770	772
8	14	1	510	511
8	13	1	783	784
14	17	1	800	801
12	17	2	816	818
8	13	5	603	608
8	16	2	440	442
13	18	2	764	766
11	12	3	996	999
8	13	1	785	786
10	17	4	851	855
13	18	6	598	604
13	18	6	604	610
8	18	2	263	265
12	17	2	818	820
8	14	1	515	516
8	11	4	830	834
8	16	2	438	440
15	16	2	955	957
8	13	2	770	772
8	13	3	672	675
9	14	6	926	932
8	18	3	247	250
13	18	5	625	630
8	13	3	654	657
8	18	7	31	38
11	16	7	837	844
8	18	4	111	115
16	18	12	874	886
8	15	2	469	471
8	18	4	107	111
8	13	2	756	758
13	18	7	572	579
8	17	2	388	390
17	18	3	855	858
8	11	3	841	844
9	15	1	910	911
8	13	3	690	693
8	18	2	271	273
8	18	7	24	31
13	18	7	565	572
8	13	2	768	770
8	17	4	373	377
17	18	2	996	998
8	15	3	460	463
14	17	6	499	505
8	13	2	762	764
13	18	4	639	643
8	15	7	449	456
13	18	1	782	783
16	18	1	448	449
8	15	2	471	473
13	18	7	558	565
17	18	1	999	1000
13	18	4	635	639
8	14	1	511	512
8	13	3	687	690
13	18	1	784	785
12	17	2	814	816
15	17	1	856	857
8	10	7	851	858
12	17	1	990	991
8	13	3	684	687
10	11	4	990	994
17	18	5	976	981
13	18	4	659	663
12	14	1	997	998
8	13	1	791	792
9	17	2	901	903
14	16	1	930	931
17	18	4	989	993
8	13	2	726	728
8	17	6	342	348
8	13	4	626	630
13	18	2	774	776
13	18	1	786	787
8	13	3	678	681
16	18	9	903	912
8	18	6	51	57
8	15	1	490	491
8	18	4	139	143
8	13	3	675	678
8	13	1	796	797
8	13	3	666	669
13	18	9	525	534
13	18	4	739	743
8	18	2	267	269
8	10	2	883	885
9	11	3	960	963
8	13	3	663	666
8	18	3	238	241
8	18	3	244	247
8	18	4	159	163
14	15	1	955	956
13	18	4	719	723
8	13	8	569	577
8	13	3	660	663
8	18	3	241	244
8	16	6	396	402
13	18	9	516	525
13	18	3	757	760
10	17	1	855	856
8	14	1	508	509
10	13	3	964	967
8	18	4	147	151
8	18	2	291	293
8	16	2	436	438
8	13	2	750	752
9	14	2	936	938
12	18	5	802	807
12	17	2	957	959
8	18	3	187	190
8	9	3	988	991
8	13	1	776	777
8	18	2	297	299
11	16	6	844	850
8	14	1	509	510
13	18	2	766	768
11	16	2	960	962
8	13	2	736	738
8	16	3	422	425
8	13	5	608	613
12	17	2	812	814
14	17	4	505	509
8	18	2	293	295
13	18	1	779	780
15	16	3	908	911
17	18	36	935	971
15	16	12	932	944
8	18	3	172	175
8	18	3	163	166
13	18	6	586	592
8	13	10	516	526
15	16	6	877	883
8	17	3	380	383
9	18	5	887	892
8	18	6	45	51
15	17	8	480	488
8	17	1	395	396
8	17	3	377	380
9	16	4	903	907
13	18	4	679	683
8	15	2	477	479
8	12	1	823	824
8	18	2	275	277
8	13	1	778	779
8	13	5	613	618
8	18	4	155	159
8	16	5	402	407
8	13	1	798	799
8	16	1	444	445
9	15	2	908	910
8	16	4	415	419
13	18	4	683	687
8	13	3	681	684
10	15	9	856	865
8	18	6	69	75
8	12	6	802	808
14	16	4	926	930
8	18	4	151	155
16	18	3	932	935
8	18	3	220	223
8	13	3	669	672
8	15	3	466	469
10	15	5	872	877
8	18	1	339	340
8	18	4	143	147
8	13	1	794	795
13	18	4	723	727
9	14	2	942	944
13	18	8	542	550
13	18	4	647	651
17	18	1	998	999
13	18	6	592	598
16	18	4	924	928
8	18	8	0	8
13	18	4	695	699
11	12	1	999	1000
8	17	2	392	394
13	18	4	667	671
13	18	4	731	735
8	13	1	799	800
8	13	2	760	762
9	13	6	946	952
8	10	3	877	880
8	13	2	758	760
8	14	3	505	508
8	12	2	812	814
16	18	13	837	850
8	13	1	781	782
8	12	2	818	820
